headline,category,content,url
Sprzeciwiają się ekspansji Starlink. Musk jest „rosyjski” ,technologia,"SpaceX planuje umieścić na orbicie okołoziemskiej kolejne 22 488 satelitów, co ma na celu rozszerzenie globalnej sieci Starlink. Te ambitne plany spotkały się jednak nie tylko z ostrą krytyką astronom","https://geekweek.interia.pl/internet/news-sprzeciwiaja-sie-ekspansji-starlink-musk-jest-rosyjski,nId,20355562"
OpenAI wypuszcza narzędzie go generowania filmów z treści,technologia,"OpenAI zaprezentowało nowe narzędzie Sora, które pozwoli użytkownikom ChatGPT na generowanie krótkich filmów. Będą to maksymalnie 20-sekundowe wideo, które sztuczna inteligencja stworzy na podstawie t","https://geekweek.interia.pl/technologia/sztuczna-inteligencja/news-openai-wypuszcza-narzedzie-go-generowania-filmow-z-tresci,nId,20355540"
Nowe prawo w UE od 28 grudnia. Chodzi o ładowarki do telefonu,technologia,"Już wkrótce wdrożone zostaną nowe przepisy związane z unijnymi dyrektywami. Okazuje się, że zmiany dotyczą ładowarek do różnych urządzeń, w tym smartfonów. Nowe sprzęty będą musiały być konstruowane w","https://geekweek.interia.pl/technologia/news-nowe-prawo-w-ue-od-28-grudnia-chodzi-o-ladowarki-do-telefonu,nId,20355561"
Raspberry Pi 500 zaprezentowany. Komputer w klawiaturze,technologia,"Raspberry Pi 500 to najnowszy komputer z logo maliny, który został schowany w klawiaturze. Skąd taki pomysł? Twórcy chcieli, aby maszyna była gotowa do pracy w zasadzie po wyjęciu z opakowania i podłą","https://geekweek.interia.pl/technologia/news-raspberry-pi-500-zaprezentowany-komputer-w-klawiaturze,nId,20355533"
Rosja śmieje się nam w twarz. Kilka kliknięć i towar płynie,technologia,"Jak dowiadujemy się z nowego raportu Bloomberga, rosyjska armia znalazła zaskakująco prosty sposób na kupowanie amerykańskich podzespołów. Zbiór wewnętrznych rosyjskich dokumentów przejrzanych przez d","https://geekweek.interia.pl/militaria/news-rosja-smieje-sie-nam-w-twarz-kilka-klikniec-i-towar-plynie,nId,20355506"
Gigantyczna porażka amerykańskich czołgów Abrams w Ukrainie,technologia,Smutne wieści dochodzą do nas z Ukrainy. Armia naszego wschodniego sąsiada miała stracić na polu walki większość dostarczonych potężnych amerykańskich czołgów Abrams. Nikt się nie spodziewał takiego r,"https://geekweek.interia.pl/militaria/news-gigantyczna-porazka-amerykanskich-czolgow-abrams-w-ukrainie,nId,20355503"
Rosjanie w panice zabrali wszystkie bombowce. Sukces Ukrainy,technologia,"Rosyjskie wojsko przeniosło znaczną część swojej floty powietrznej, na czele z bombowcami, do bazy znacząco oddalonej od granic Ukrainy. To efekt użycia przez Ukraińców pocisków dalekiego zasięgu na t","https://geekweek.interia.pl/lotnictwo/news-rosjanie-w-panice-zabrali-wszystkie-bombowce-sukces-ukrainy,nId,20355504"
iOS 18.2. Co nowego z aktualizacją dla iPhone'a?,technologia,"iOS 18.2 to duża aktualizacja oprogramowania dla iPhone'ów, którą Apple udostępni w tym tygodniu. Wniesie ona sporo nowości, choć z części z nich nie skorzystamy w Polsce. Uaktualnienie iOS 18.2 wprow","https://geekweek.interia.pl/technologia/news-ios-18-2-co-nowego-z-aktualizacja-dla-iphone-a,nId,20355468"
Polacy stworzyli pierwszy w Europie latający motocykl,technologia,"SkyRacer X1 to pierwszy latający motocykl w Europie, który został stworzony przez Polaków. Maszynę opracowała gdyńska spółka Maviator Group i została ona już przetestowana w trakcie lotów załogowych.","https://geekweek.interia.pl/technologia/news-polacy-stworzyli-pierwszy-w-europie-latajacy-motocykl,nId,20355416"
Syryjscy rebelianci zdobyli rosyjskie militarne złoto,technologia,"Syryjscy rebelianci, w swoim rajdzie do Damaszku, zdobyli niesamowite rosyjskie militarne złoto. Nawet Ukraińcy nie odnieśli takiego sukcesu w swojej walce z armią Kremla. To dramat dla Rosjan. Rosyjs","https://geekweek.interia.pl/militaria/news-syryjscy-rebelianci-zdobyli-rosyjskie-militarne-zloto,nId,20355500"
