headline,category,url,sub_category
Rosyjski myśliwiec Su-27 walczył z F-16 w USA,technologia,"https://geekweek.interia.pl/lotnictwo/news-rosyjski-mysliwiec-su-27-walczyl-z-f-16-w-usa,nId,20355257",Lotnictwo
Ukraiński samolot może atakować Rosjan zupełnie nową bronią,technologia,"https://geekweek.interia.pl/lotnictwo/news-ukrainski-samolot-moze-atakowac-rosjan-zupelnie-nowa-bronia,nId,20355252",Lotnictwo
Skarbiec zagłady ludzkości zapełnia się nowymi próbkami,technologia,"https://geekweek.interia.pl/przyroda/news-skarbiec-zaglady-ludzkosci-zapelnia-sie-nowymi-probkami,nId,20355254",Przyroda
GenCast od Google zastąpi meteorologów? 97. proc dokładności,technologia,"https://geekweek.interia.pl/technologia/sztuczna-inteligencja/news-gencast-od-google-zastapi-meteorologow-97-proc-dokladnosci,nId,20355184",Sztuczna inteligencja
SI zaśmieca internet? W tle nowość od Google,technologia,"https://geekweek.interia.pl/technologia/sztuczna-inteligencja/news-si-zasmieca-internet-w-tle-nowosc-od-google,nId,20355206",Sztuczna inteligencja
Straż miejska ma nową broń. Kontrole w wielu miastach,technologia,"https://geekweek.interia.pl/technologia/news-straz-miejska-ma-nowa-bron-kontrole-w-wielu-miastach,nId,20355183",Technologia
To one walczą z zatorami na polskich rzekach,technologia,"https://geekweek.interia.pl/technologia/news-to-one-walcza-z-zatorami-na-polskich-rzekach,nId,20355220",Technologia
1790 m długości. Nowa zapora ochroni Legnicę przed zalaniem,technologia,"https://geekweek.interia.pl/przyroda/news-1790-m-dlugosci-nowa-zapora-ochroni-legnice-przed-zalaniem,nId,20355202",Przyroda
Zakręcasz grzejnik w mieszkaniu? Jesteś pasożytem cieplnym,technologia,"https://geekweek.interia.pl/technologia/news-zakrecasz-grzejnik-w-mieszkaniu-jestes-pasozytem-cieplnym,nId,7837967",Technologia
Max chce być jak zwykła telewizja. Testuje kanały na żywo,technologia,"https://geekweek.interia.pl/technologia/news-max-chce-byc-jak-zwykla-telewizja-testuje-kanaly-na-zywo,nId,20355205",Technologia
Rosja pobrała 48 tys. próbek DNA. Tylu żołnierzy im „zaginęło”,technologia,"https://geekweek.interia.pl/militaria/news-rosja-pobrala-48-tys-probek-dna-tylu-zolnierzy-im-zaginelo,nId,20355176",Militaria
Niesamowity ostrzał Rosjan z amerykańskiego wozu Bradley,technologia,"https://geekweek.interia.pl/militaria/news-niesamowity-ostrzal-rosjan-z-amerykanskiego-wozu-bradley,nId,20355174",Militaria
Żołnierz ukrył się za parasolem przed termowizją wroga,technologia,"https://geekweek.interia.pl/technologia/news-zolnierz-ukryl-sie-za-parasolem-przed-termowizja-wroga,nId,20355172",Technologia
Na Ukrainę spadły dziesiątki koreańskich pocisków,technologia,"https://geekweek.interia.pl/militaria/news-na-ukraine-spadly-dziesiatki-koreanskich-pociskow,nId,20355168",Militaria
500 km tuneli. Szwajcarski transport schodzi pod ziemię,technologia,"https://geekweek.interia.pl/transport/news-500-km-tuneli-szwajcarski-transport-schodzi-pod-ziemie,nId,20355120",Transport
Najdroższy zawód świata. Ile za szkolenie pilota F-35?,technologia,"https://geekweek.interia.pl/militaria/news-najdrozszy-zawod-swiata-ile-za-szkolenie-pilota-f-35,nId,20355086",Militaria
Ukraina zaczyna wielkie minowanie. Przerobili nawet Humvee,technologia,"https://geekweek.interia.pl/militaria/news-ukraina-zaczyna-wielkie-minowanie-przerobili-nawet-humvee,nId,20355103",Militaria
Samsung szykuje produkt z nowej kategorii. Co to takiego?,technologia,"https://geekweek.interia.pl/technologia/news-samsung-szykuje-produkt-z-nowej-kategorii-co-to-takiego,nId,20355096",Technologia
"Ogrzewasz pokój farelką? Liczymy, ile zapłacisz za prąd",technologia,"https://geekweek.interia.pl/technologia/news-ogrzewasz-pokoj-farelka-liczymy-ile-zaplacisz-za-prad,nId,20355128",Technologia
Kolejny Husarz w powietrzu. Polacy coraz bliżej F-35,technologia,"https://geekweek.interia.pl/militaria/news-kolejny-husarz-w-powietrzu-polacy-coraz-blizej-f-35,nId,20355116",Militaria
SpaceX pobiło własny rekord. Dotyczy rakiety Falcon 9,technologia,"https://geekweek.interia.pl/technologia/news-spacex-pobilo-wlasny-rekord-dotyczy-rakiety-falcon-9,nId,20355100",Technologia
Ma ośmieszyć Zachód. Rosja pokazała hipersoniczny Cyrkon,technologia,"https://geekweek.interia.pl/militaria/news-ma-osmieszyc-zachod-rosja-pokazala-hipersoniczny-cyrkon,nId,20355087",Militaria
To pierwszy taki statek komercyjny. Ma nietypowe zadanie,technologia,"https://geekweek.interia.pl/technologia/news-to-pierwszy-taki-statek-komercyjny-ma-nietypowe-zadanie,nId,20355035",Technologia
Zobaczyli śmigłowiec w locie bez pilotów na pokładzie,technologia,"https://geekweek.interia.pl/lotnictwo/news-zobaczyli-smiglowiec-w-locie-bez-pilotow-na-pokladzie,nId,20355084",Lotnictwo
Korea Południowa ma potężną armię. Tym może się bronić Seul,technologia,"https://geekweek.interia.pl/lotnictwo/news-korea-poludniowa-ma-potezna-armie-tym-moze-sie-bronic-seul,nId,20355078",Lotnictwo
Sztuczna inteligencja doskonale podsłuchuje miasta,technologia,"https://geekweek.interia.pl/nauka/news-sztuczna-inteligencja-doskonale-podsluchuje-miasta,nId,20355034",Nauka
"A jednak! Ujawnili HX-2, czyli mini-Taurusy dla Ukrainy",technologia,"https://geekweek.interia.pl/militaria/news-a-jednak-ujawnili-hx-2-czyli-mini-taurusy-dla-ukrainy,nId,20355045",Militaria
Natychmiast usuń te aplikacje. W Google Play wykryto wirusy,technologia,"https://geekweek.interia.pl/mobile/news-natychmiast-usun-te-aplikacje-w-google-play-wykryto-wirusy,nId,20355026",Mobile
Drukowane na skórze e-tatuaże. Alternatywa dla EEG,technologia,"https://geekweek.interia.pl/medycyna/news-drukowane-na-skorze-e-tatuaze-alternatywa-dla-eeg,nId,20355038",Medycyna
Ukraina ma nowe drony. LORD ma zasięg 2000 kilometrów,technologia,"https://geekweek.interia.pl/militaria/news-ukraina-ma-nowe-drony-lord-ma-zasieg-2000-kilometrow,nId,20355007",Militaria
Niemcy mówią Rosji dość. Ogromny transport maszyn do Ukrainy,technologia,"https://geekweek.interia.pl/militaria/news-niemcy-mowia-rosji-dosc-ogromny-transport-maszyn-do-ukrainy,nId,20355003",Militaria
"Wielki sukces myśliwców F-16 na Ukrainie. ""Rosja zaskoczona""",technologia,"https://geekweek.interia.pl/lotnictwo/news-wielki-sukces-mysliwcow-f-16-na-ukrainie-rosja-zaskoczona,nId,20355006",Lotnictwo
Miliarderzy będą nieśmiertelni. Mają armię naukowców,technologia,"https://geekweek.interia.pl/medycyna/news-miliarderzy-beda-niesmiertelni-maja-armie-naukowcow,nId,20355005",Medycyna
"Zgnilizna mózgu, czyli znamy oksfordzkie słowo roku 2024",technologia,"https://geekweek.interia.pl/internet/news-zgnilizna-mozgu-czyli-znamy-oksfordzkie-slowo-roku-2024,nId,20354990",Internet
Militarne skarby w rękach syryjskich rebeliantów,technologia,"https://geekweek.interia.pl/militaria/news-militarne-skarby-w-rekach-syryjskich-rebeliantow,nId,20354992",Militaria
Watykan idzie w nowe technologie. Będą m.in. streamy na żywo,technologia,"https://geekweek.interia.pl/internet/news-watykan-idzie-w-nowe-technologie-beda-m-in-streamy-na-zywo,nId,20354975",Internet
"Świętowali ""wielkie zwycięstwo"" a zdobyli tylko... atrapy",technologia,"https://geekweek.interia.pl/militaria/news-swietowali-wielkie-zwyciestwo-a-zdobyli-tylko-atrapy,nId,20341801",Militaria
Plush i Łatwogang wypuszczają starter. Limitowana edycja,technologia,"https://geekweek.interia.pl/mobile/news-plush-i-latwogang-wypuszczaja-starter-limitowana-edycja,nId,20354986",Mobile
"Netflix Wrapped, czyli co oglądaliśmy w platformie przez rok",technologia,"https://geekweek.interia.pl/technologia/news-netflix-wrapped-czyli-co-ogladalismy-w-platformie-przez-rok,nId,20341800",Technologia
